rank,feature,importance,importance_pct,cumulative_importance_pct
1,cause_closure_rate,0.08562307804822922,8.562307422057952,8.562307422057952
2,cause_corridor_closure_rate,0.07690205425024033,7.690205081245076,16.25251250330303
3,is_non_corridor,0.06043779104948044,6.043778834770076,22.296291338073104
4,is_night,0.05595167726278305,5.595167476154828,27.89145881422793
5,vehicle_type_encoded,0.04512394219636917,4.5123940179171855,32.40385283214512
6,cause_corridor_key_freq,0.04430580139160156,4.430579941097799,36.834432773242916
7,corridor_encoded,0.04384428635239601,4.384428439240376,41.21886121248329
8,cause_priority_key_freq,0.04371380805969238,4.371380610553297,45.590241823036585
9,police_station_encoded,0.04296497255563736,4.29649706349535,49.88673888653194
10,has_vehicle_type,0.04290974140167236,4.290973948345752,54.17771283487769
11,corridor_closure_rate,0.04287455230951309,4.287455039287133,58.46516787416483
12,hour_cos,0.04259558767080307,4.2595585766632,62.72472645082803
13,hour_sin,0.041165564209222794,4.116556236897876,66.8412826877259
14,zone_encoded,0.040054354816675186,4.005435302610608,70.8467179903365
15,hour_of_day,0.03907083719968796,3.9070835453085504,74.75380153564505
16,has_zone,0.037694551050662994,3.7694549365585326,78.5232564722036
17,event_cause_encoded,0.03763367235660553,3.763367067424935,82.28662353962852
18,month,0.037323229014873505,3.7323227346395225,86.01894627426805
19,is_peak_hour,0.035598646849393845,3.559864525801039,89.57881080006909
20,day_of_week,0.0353773832321167,3.53773816506245,93.11654896513154
21,is_weekend,0.034611623734235764,3.461162218697568,96.57771118382911
22,is_high_priority_corridor,0.03422288969159126,3.4222888161708944,100.0
